text,channel_id
"Стартап — это не просто бизнес. Это мечта, воплотившаяся в реальность. Но помните: мечта требует не только идеи, но и тщательного планирования.",1000
"Инвестировать в стартапы — значит верить в будущее. Но выбирать их для инвестирования стоит так же внимательно, как и свои мечты.",1000
"Ведение бизнеса без KPI и метрик — это как путешествие без карты. Вы можете куда-то прийти, но будете ли вы удовлетворены результатом?",1000
"Глобализация делает мир меньше, а возможности для бизнеса — больше. Сегодня твой стартап может быть местным, завтра — мировым.",1000
Почему книги никогда не устают? Потому что у них всегда есть отдельный переплёт! 😂,1001
"Вы слышали о призраке, который убегает на велосипеде? Это вело-спектр! 👻🚴",1001
"Если у вас плохое настроение, просто представьте, как динозавры пытаются надеть шляпу. Это меня всегда рассмешивает!",1001
Два томата переходили дорогу. Один говорит другому: 'Поторопись!' А другой отвечает: 'Я уже соус!' 🍅😆,1001
"Погружение в Канвас: Каждый мазок кисти рассказывает историю. Когда художник прикасается к холсту, это не просто цвет и форма — это эмоция, мгновение, вдохновение. Какое ваше последнее произведение искусства говорит о вас?",1002
"Скульптура времени: Камень, который лежит неизменным тысячелетиями, может быть преобразован в произведение искусства всего за несколько месяцев или лет. Скульптура — это диалог между материалом и мастером. Какой материал вдохновляет вас?",1002
"Музыка визуального искусства: Когда вы смотрите на произведение искусства, слышите ли вы музыку? Цвета и формы могут играть ноты для ваших глаз, создавая визуальный концерт. Какое произведение искусства заставляет ваше сердце биться в такт?",1002
"Танец теней: Графика и рисунок — это не только о линиях. Это о том, как свет и тень танцуют на бумаге, создавая глубину и движение. Какие тени вы бы хотели запечатлеть в своем следующем произведении?",1002
"🎤 Последние слухи из мира звезд: Гвен Стефани выпустит новый альбом в этом месяце. Ожидается, что это будет бомба! 🔥",1003
"🎬 Следующий фильм Кристофера Нолана выйдет в прокат осенью. По словам режиссера, это будет его самое масштабное и захватывающее произведение.",1003
"🎭 Знаменитая актриса Ольга Куриленко присоединяется к актерскому составу следующего сезона сериала ""Корона"". Очень интересно узнать, кого она сыграет!",1003
"🎸 Легендарная группа ""Queen"" анонсировала мировой тур в честь своего 50-летия. Поклонники в восторге и уже начинают бронировать билеты.",1003
"В эпоху информационного шума, блоги становятся личными островками искренности. Это место, где автор и читатель становятся ближе друг к другу.",1004
"Блоггинг — это не просто написание текстов. Это искусство рассказывать истории, делиться моментами и вдохновлять своих читателей.",1004
"Задумывались ли вы о создании собственного блога? Начать проще, чем кажется! Первый шаг — это просто начать. Ваш голос заслуживает, чтобы его услышали.",1004
"Блоги меняют мир вокруг. Один пост может вдохновить тысячи, а ваша история может стать той искоркой, которая зажжёт свет в чьей-то жизни.",1004
"Облака и макароны
Замечали ли вы когда-нибудь, что облака иногда похожи на макароны? Интересно, есть ли параллельный мир, где облака из макарон и люди ждут дождя с соусом?",1005
"Носки и космос
Есть теория, что потерянные носки телепортируются в космос и становятся частью черных дыр. Но что если черные дыры — это просто гигантские стиральные машины для вселенной?",1005
"Зеленые слоны
Представьте мир, где все слоны зеленые, а вместо хоботов у них рога. Что бы изменилось в экосистеме?",1005
"Рыбы-драконы
Вчера видел рыбу, которая напоминала мне дракона из сказки. Интересно, могут ли рыбы мечтать стать драконами?",1005
"Танцующие картофелины
Мне приснился странный сон: поля картофеля, где каждый клубень танцевал танго. Что бы вы делали, если бы увидели что-то подобное?",1005
"Биткоин vs. Фиат: Пока банковские системы основаны на доверии и требуют посредников, Биткоин предлагает децентрализованную альтернативу, где доверие основано на криптографии.",1006
"Эфириум 2.0: С переходом на стейкинг вместо майнинга, Эфириум стремится улучшить масштабируемость и уменьшить энергетические затраты. Следите за обновлениями!",1006
"Децентрализованные финансы (DeFi): Забудьте о традиционных банках! DeFi платформы предоставляют финансовые услуги без посредников, используя блокчейн технологии.",1006
"NFT - Незаменимые токены: Цифровое искусство, коллекционные карточки, музыкальные треки - все это можно купить и продать как NFT. Открытый мир для цифровых коллекционеров!",1006
"Криптовалютные биржи: На платформах типа Binance и Coinbase пользователи могут покупать, продавать и обменивать криптовалюты. Выбор биржи важен для безопасности ваших средств.",1006
Регулирование криптовалют: Многие страны рассматривают введение законов для регулирования криптовалют. Это может повлиять на стоимость и применение ваших токенов. Информируйтесь!,1006
"🎵 ""Музыка - это то, что заставляет нас жить и чувствовать. Она словно магия, способная проникнуть в самые глубокие уголки души."" 🎶",1007
🔊 Новое исследование показало: регулярное прослушивание классической музыки улучшает качество сна и снижает уровень стресса. 🎻,1007
"🎧 Плейлист дня: 10 неизвестных треков, которые заслуживают вашего внимания. Откройте для себя что-то новое! 🎤",1007
"🎹 Великие композиторы прошлого: их жизнь, творчество и вклад в мировую музыкальную культуру. 🎼",1007
🥁 Почему ритм так важен в музыке? От биения сердца до танцевальных движений - ритм объединяет нас всех. 💃🕺,1007
🎷 Джазовые импровизации: как музыканты создают неповторимое на ходу и что стоит за этим процессом. 🎺,1007
"🎸 Как выбрать первую гитару? Советы для начинающих музыкантов, чтобы начать свой путь в мире музыки правильно. 🎚️",1007
📀 История виниловых пластинок: от первых экземпляров до современных коллекций. Почему винил снова становится популярным? 🎉,1007
"Зеркальные нейроны: Удивительные клетки в нашем мозгу, которые активируются, когда мы наблюдаем за действиями других людей, делая нас естественно сочувствующими и эмпатичными.",1008
"Эффект психологической реакции: Когда нас пытаются заставить что-то сделать, наш внутренний бунтарь часто выходит наружу. Почему мы так реагируем на попытки контролировать нас?",1008
"Заблуждение о своем исключительном статусе: Большинство из нас считают, что они выше среднего по многим показателям. Это заблуждение может поддерживать нашу уверенность, но также может ввести нас в заблуждение.",1008
"Почему мы откладываем дела на потом?: Прокрастинация — это не просто лень. Это сложная психологическая борьба между текущим ""я"" и будущим ""я"".",1008
"Психология сновидений: Что наши сны говорят о нас? Путешествие в мир сновидений может предоставить уникальные инсайты о нашем внутреннем ""я"".",1008
Теория привязанности: Наши ранние отношения с родителями формируют наши стили привязанности во взрослой жизни. Как ваш стиль привязанности влияет на ваши отношения?,1008
"Психология цвета: Как цвета, окружающие нас, влияют на наши эмоции и решения? Почему красный цвет ассоциируется с опасностью, а синий с успокоением?",1008
Тенденции этого лета: Пастельные оттенки и асимметричные юбки заявляют о своем доминировании на подиумах мира. Готовы обновить свой гардероб?,1009
Секрет идеального макияжа: Золотое правило – знаете свой тип кожи. Матовая помада для сухой кожи? Не лучший выбор!,1009
Совет дня: Смешивание текстур – ключ к интересному образу. Шелковая блузка и кожаные брюки? Почему бы и нет!,1009
Мифы ухода за кожей: Не все дорогие кремы действительно работают. Иногда простое оливковое масло может творить чудеса.,1009
"Обувь на каждый день: Каблуки или кроссовки? В этом сезоне дизайнеры говорят ""да"" удобству. Поиск стильных кроссовок – в приоритете!",1009
"Аксессуары, которые меняют образ: Большие серьги или минималистичные браслеты? Правильный выбор аксессуаров может полностью преобразить ваш стиль.",1009
"Секреты красоты из прошлого: Вы знали, что в древнем Египте использовали алоэ для увлажнения кожи? История красоты полна интересных фактов.",1009
Тренды парфюмерии: В этом году на пике популярности ароматы с нотами сандала и иланг-иланга. Найдите свой идеальный аромат!,1009
"📸 Золотой час: Почему фотографы так ценят рассветы и закаты? Это время, когда свет мягкий и создает неповторимую атмосферу на снимках.",1010
"🖼️ Секреты ретуши: Как правильно обработать портретное фото, чтобы сохранить естественность и при этом подчеркнуть лучшие черты лица.",1010
📷 Архитектурная фотография: Какие линзы лучше всего подходят для съемки высоких зданий и широких панорам города?,1010
🎞️ Винтажные фотоаппараты: Почему старые аналоговые камеры до сих пор пользуются популярностью среди профессионалов?,1010
🖌️ Цветовая коррекция: Как правильно настроить баланс белого и подчеркнуть насыщенность цветов на ваших фотографиях.,1010
📸 Макро мир: Откройте для себя удивительный мир мелочей с помощью макрофотографии. Каждая капля росы и каждый лепесток цветка расскажут свою историю.,1010
"🖼️ Фотография как искусство: Как создать абстрактное изображение, играя с фокусом, движением и экспозицией.",1010
"📷 Путешествие в прошлое: Как реставрировать старые черно-белые фотографии, возвращая им былую яркость и четкость.",1010
"Тренды в рекламе 2023: С каждым годом реклама становится всё более тонкой и изысканной. Сейчас акцент смещается на создание историй, которые реально вдохновляют.",1011
"Реклама vs. PR: Многие думают, что это одно и то же. На самом деле, реклама это о продвижении продукта, а PR — о продвижении бренда.",1011
"Секреты успешного маркетинга: Главное в маркетинге — понимание клиента. Не продукт делает бренд успешным, а эмоции, которые он вызывает.",1011
"Digital vs. Traditional: В эпоху цифровизации многие бренды переключаются на цифровой маркетинг, но традиционные методы всё ещё работают. Главное — знать свою аудиторию.",1011
Будущее PR: В эпоху социальных медиа PR-специалисты становятся посредниками между брендами и их аудиторией. На первый план выходит прозрачность и искренность.,1011
Influencer-маркетинг: Сотрудничество с блогерами и знаменитостями становится ключевым инструментом для достижения молодой аудитории. Но как выбрать правильного инфлюенсера?,1011
"Грани рекламы: Подумайте дважды перед тем, как делать провокационную рекламу. Она может привлечь внимание, но также может отпугнуть потенциальных клиентов.",1011
"Стратегия брендинга: Создание бренда — это не только логотип. Это история, миссия, визия и ценности, которые вы хотите передать своим клиентам.",1011
"Как измерить ROI в PR?: Многие думают, что успех PR-кампании невозможно измерить. На самом деле, с правильными инструментами и стратегией, это вполне осуществимо.",1011
"Губернатор Хабаровского показал лидеру КНДР Ким Чен Ыну во время его визита в регион РФ специальный выпуск журнала ""Корея"" за 1984 год.

Данный выпуск был посвящен приезду в СССР бывшего северокорейского вождя Ким Ир Сена. По словам Михаила Дегтярева, в журнале также есть фотолетопись Хабаровского края.",1001872252
"Хабаровский губернатор Михаил Дегтярев показал Ким Чен Ыну журнал «Корея» за 1984 год. Как объяснил Дегтярев, это выпуск был посвящен «визиту великого вождя товарища Ким Ир Сена в СССР».

Ким Ир Сен — дед нынешнего руководителя КНДР, а с 1998 года, посмертно — вечный президент страны.",1099860397
"Ким Чен Ыну провели экскурсию по фрегату ""Маршал Шапошников""

Видео публикует Минобороны РФ.

@SPUTNIKBY",1130470002
"Кадры прибытия Сергея Шойгу и Ким Чен Ына на фрегат ТОФ ""Маршал Шапошников"" во Владивостоке.

Главнокомандующий ВМФ России адмирал Николай Евменов рассказал лидеру КНДР о характеристиках корабля и противолодочного вооружения, расположенного на верхней палубе и надстройках.",1001872252
"⚡️Ким Чен Ын и Сергей Шойгу прибыли на фрегат Тихоокеанского флота ""Маршал Шапошников"" во Владивостоке

😎 Подписаться на IZ.RU",1003698528
"Лидер КНДР Ким Чен Ын и Министр обороны РФ Сергей Шойгу прибыли на фрегат Тихоокеанского флота «Маршал Шапошников» во Владивостоке. 

▫️ Лидер Корейской Народной Демократической республики Ким Чен Ын и Министр обороны Российской Федерации генерал армии Сергей Шойгу прибыли на пришвартованный в бухте Улисс города Владивостока фрегат Тихоокеанского флота «Маршал Шапошников». 

▫️ Высоких гостей встретил на борту командир корабля капитан второго ранга Сергей Меркулов. О характеристиках корабля и противолодочного вооружения, расположенного на верхней палубе и надстройках – четырёхтрубных торпедных аппаратах и реактивных бомбомётах РБУ-6000 – рассказал главнокомандующий Военно-Морским флотом России адмирал Николай Евменов. 

▫️ Фрегат «Маршал Шапошников», построенный в середине 1980-х годов как большой противолодочный корабль проекта 1155 несколько лет назад прошёл глубокую модернизацию, в ходе которой на него было установлено современное вооружение.

🔹 Минобороны России",1082968817
"Ким Чен Ыну продемонстрировали новое вооружение фрегата «Маршал Шапошников» во Владивостоке 
 
▫️ Ракетные комплексы и артиллерийскую установку продемонстрировали фрегата «Маршал Шапошников» продемонстрировали лидеру КНДР Киму Чен Ыну, посетившему при Владивостоке. 

▫️ Противокорабельные ракетные комплексы «Уран» и универсальные комплексы крылатых ракет «Калибр», а также 100-миллиметровую автоматическую артиллерийскую установку А-190 продемонстрировали руководителю Корейской Народной Демократической Республики Ким Чен Ыну во время его посещения фрегата Тихоокеанского флота «Маршал Шапошников. 

▫️ Главнокомандующий Военно-Морским Флотом адмирал Николай Евменов рассказал лидеру Северной Кореи и Министру обороны России генералу армии Сергею Шойгу о характеристиках современного российского ракетного и артиллерийского оружия морского базирования, которым оснащён модернизированный фрегат.  

▫️ Данные комплексы качественно отличают корабль от больших противолодочных кораблей проекта 1155 и существенно расширяют его боевые возможности. С данным вооружением фрегат «Маршал Шапошников» способен не только эффективно бороться с современными подводными лодками противника, но и вести бой с надводным противником на больших дистанциях, а также наносить точные удары по береговым объектам и объектам, расположенным на значительном отдалении от береговой черты.

🔹 Минобороны России",1082968817
"🇺🇸🇺🇦 США не планируют объявлять о решении по ракетам дальнего действия во время визита Зеленского

Администрация Байдена на данный момент не планирует объявлять о своем решении о том, отправлять ли ракеты большей дальности, которые Киев добивается во время визита президента Украины Зеленского в Вашингтон на следующей неделе. Об этом сообщает американское издание Axios.

По словам украинского источника, в Киеве надеялись, что Байден одобрит поставку армейских тактических ракетных систем, или ATACMS с дальностью полета до 190 миль.

Американский чиновник заявил, что этот вопрос был поднят украинскими чиновниками во время визита госсекретаря Тони Блинкена в Киев на прошлой неделе.

🔹 Американский чиновник сказал Axios, что в администрации Байдена все еще ведутся дебаты о поставках ATACMS.",1453804949
"🇺🇦🇺🇸🇺🇳Портал Axios пишет, что Штаты не будут объявлять о начале поставок Украине ракет ATACMS во время визита Зели на Генассамблею ООН.

Подписаться на канал",1205641526
"Администрация президента США Джо Байдена не планирует объявлять о своем решении, касающегося поставок Украине ракет большой дальности, в ходе визита украинского президента Владимира Зеленского в Вашингтон и Нью-Йорк, сообщил портал Axios со ссылкой на информированный источник.

Источник сообщил порталу, что в администрации Байдена по поводу поставок ATACMS все еще ведутся дебаты, а в Киеве надеялись, что Байден одобрит поставку армейских тактических ракетных комплексов ATACMS на следующей неделе, пользуясь пребыванием Зеленского в США.",1394050290
"Вопреки ожиданиям Киева, Белый дом не планирует объявлять о передаче Украине дальнобойных ракет ATACMS во время визита украинского президента Владимира Зеленского в Вашингтон и штаб-квартиру ООН, пишет Axios со ссылкой на источник. По его словам, в президентской администрации все еще ведутся споры по этому вопросу.

По сведениям CNN, окончательное решение все еще не принято, но вероятность положительного ответа США на запросы Киева сейчас высока, как никогда прежде. На одобрении поставок ATACMS настаивают в первую очередь Пентагон и Госдепартамент.",1099860397
"США в ближайшее время передадут Украине более десяти танков Abrams

Об этом заявил секретарь СНБО Алексей Данилов в комментарии Украинскому Радио.

«Что касается поставки Abrams, - тяжелейших танков в мире, которые весят 80 тонн, то они в ближайшее время поступят в нашу страну. Наши стратегические партнеры - США - в этом случае нас не подводят. В ближайшее время эти танки будут защищать нашу страну», - заявил он.

🇺🇦 Украина Сейчас / Подписаться",1197363285
"США скоро отправят на Украину более десяти танков Abrams

Об этом заявил секретарь СНБО Алексей Данилов в комментарии Украинскому Радио.

📝 «Что касается поставки Abrams, - тяжелейших танков в мире, которые весят 80 тонн, то они в ближайшее время поступят в нашу страну. Наши стратегические партнеры - США - в этом случае нас не подводят. В ближайшее время эти танки будут защищать нашу страну», - заявил он.

Данилов, один из главных выгодополучателей от военных поставок на Украину, не уточнил при этом, будут ли включены в состав экипажей этих танков его дети. Напомним, семья Данилова живет за счет госбюджета в США, и прекрасно себя чувствует.",1453804949
"Языки пламени уничтожили целую эпоху...

Сгоревший этой ночью кинотеатр «Слава» (спойлер: это уже давно не кинотеатр) прошёл длинный и сложный путь, чтобы отстоять своё право на существование. 78 изучил историю здания, чтобы понять, по-настоящему адский пожар был несчастным случаем или возможной концовкой за борьбу территории.

Подробнее читайте в нашем материале.

78|НОВОСТИ",1636557308
"Языки пламени уничтожили целую эпоху...

Сгоревший этой ночью кинотеатр «Слава» (спойлер: это уже давно не кинотеатр) прошёл длинный и сложный путь, чтобы отстоять своё право на существование. 78 изучил историю здания, чтобы понять, по-настоящему адский пожар был несчастным случаем или возможной концовкой за борьбу территории.

Подробнее читайте в нашем материале.

78|НОВОСТИ",1636557308
"Талибан заявил, что поддерживает территориальную целостность Азербайджана.",1315670121
"Талибан заявил, что поддерживает территориальную целостность Азербайджана.",1315670121
"Причиной смерти актера Гришечкина стала болезнь сердца, сообщает РБК

Подписаться на IZ.RU",1003698528
"В возрасте 61 года умер Вячеслав Гришечкин, звезда сериала «Солдаты». Сообщается, что у актера были проблемы с сердцем.

Петя Первый. Подписаться",1636754781
"Умер звезда сериала ""Солдаты"" Вячеслав Гришечкин

Неделю назад артист попал в больницу из-за проблем с сердцем.

Одна из самых ярких ролей Гришечкина – офицер Александр Староконь в сериале ""Солдаты"". Всего на его счету участие почти в 170 проектах. 

Гришечкину был 61 год. 

@SPUTNIKBY",1130470002
"Ким Чен Ын встретился с Сергеем Шойгу на аэродроме Кневичи в Приморье. Ему подробно показали и рассказали о российском гиперзвуковом ракетном комплексе ""Кинжал"".",1130470002
"Лидер КНДР Ким Чен Ын прибыл на аэродром Кневичи

▫️ Автомобильный кортеж председателя государственного совета Корейской Народной Демократической Республики Ким Чен Ына прибыл на аэродром Кневичи города Владивостока. 

▫️ На аэродроме северокорейского лидера встретил Министр обороны Российской Федерации генерал армии Сергей Шойгу. Председателя государственного совета Корейской Народной Демократической Республики Ким Чен Ына приветствовал почетный караул Преображенского полка.

▫️ Для показа лидеру КНДР на аэродроме Кневичи выставлены образцы современной авиационной техники Воздушно-космических сил России.

🔹 Минобороны России",1082968817
"Современные боевые самолеты ВКС России показали лидеру КНДР на аэродроме Кневичи 

▫️ В ходе демонстрации современной российской авиационной техники на аэродроме Кневичи лидеру Корейской Народной Демократической Республики Ким Чен Ыну и Министру обороны России генералу армии Сергею Шойгу были представлены современные образцы оперативно-тактической авиации ВКС России.

▫️ О боевых возможностях сверхзвукового истребителя-бомбардировщика Су-34, истребителей Су-30СМ, Су-35С и штурмовика Су-25СМ3 доложили командиры экипажей боевых самолетов.

▫️ Особое внимание было уделено их летно-техническим характеристикам и возможностям вооружения.

🔹 Минобороны России",1082968817
"Современные боевые самолеты ВКС России показали лидеру КНДР на аэродроме Кневичи 

▫️ В ходе демонстрации современной российской авиационной техники на аэродроме Кневичи лидеру Корейской Народной Демократической Республики Ким Чен Ыну и Министру обороны России генералу армии Сергею Шойгу были представлены современные образцы оперативно-тактической авиации ВКС России.

▫️ О боевых возможностях сверхзвукового истребителя-бомбардировщика Су-34, истребителей Су-30СМ, Су-35С и штурмовика Су-25СМ3 доложили командиры экипажей боевых самолетов.

▫️ Особое внимание было уделено их летно-техническим характеристикам и возможностям вооружения.

🔹 Минобороны России",1140194587
"Лидер КНДР Ким Чен Ын и министр обороны РФ Сергей Шойгу в международном аэропорту Кневичи.

Фото: Вадим Савицкий/ТАСС",1140194587
"🇰🇵 🇷🇺 Ким Чен Ын на аэродроме Кневичи знакомился с возможностями современных боевых самолетов ВКС России

Лидеру КНДР рассказали о боевых возможностях сверхзвукового истребителя-бомбардировщика Су-34, истребителей Су-30СМ, Су-35С и штурмовика Су-25СМ3.

Министр обороны России Сергей Шойгу также представил Ким Чен Ыну российский ракетоносец МиГ-31И с новейшим вооружением, - гиперзвуковым авиационным ракетным комплексом «Кинжал».",1453804949
"Ким Чен Ын ознакомился с образцами новейшей авиатехники российских ВКС

Образцы новейшей российской авиационной техники, в том числе новый магистральный самолет Ту-214, были продемонстрированы лидеру КНДР на аэродроме Кневичи во Владивостоке утром16 сентября. 

В Минобороны РФ уточняют, что Ким Чен Ын был в сопровождении министра обороны РФ Сергея Шойгу. Он осмотрел сверхзвуковой стратегический бомбардировщик-ракетоносец Ту-160, турбовинтовой стратегический бомбардировщик-ракетоносец Ту-95МС и дальний сверхзвуковой ракетоносец-бомбардировщик Ту-22М3.

 Фото: Минобороны РФ

Подписаться на @truekpru",1111072403